component,WAIS_to_GIS,WAIS_to_GIS,AMOC_to_GIS,AMOC_to_GIS,GIS_to_AMOC,GIS_to_AMOC,NINO_to_AMOC,NINO_to_AMOC,WAIS_to_AMOC,WAIS_to_AMOC,NINO_to_WAIS,NINO_to_WAIS,AMOC_to_WAIS,AMOC_to_WAIS,GIS_to_WAIS,GIS_to_WAIS,NINO_to_Amazonas,NINO_to_Amazonas,AMOC_to_Amazonas,AMOC_to_Amazonas,AMOC_to_NINO,AMOC_to_NINO,AWSI_to_AMOC,AWSI_to_AMOC,AWSI_to_GIS,AWSI_to_GIS,AWSI_to_PERM,AWSI_to_PERM,AMOC_to_AWSI,AMOC_to_AWSI,AMOC_to_WAM,AMOC_to_WAM,NINO_to_REEF,NINO_to_REEF,PERM_to_AMOC,PERM_to_AMOC
axis,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac
0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.1247086247086247,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1.141025641025641,0.010101010101010102,0.0064516129032258064,-0.2222222222222222,1.0243619489559164,0.010101010101010102,0.0011312217194570137,-0.507537688442211,0.12703962703962704,-0.98989898989899,1.2597402597402598,0.010101010101010102,1.2251655629139073,0.010101010101010102,1.2483660130718954,0.010101010101010102,1.150887573964497,0.010101010101010102,0.0009532888465204957,-0.31313131313131304,0.0026109660574412533,-0.7474747474747474,1.087599544937429,0.010101010101010102,1.1265822784810127,0.010101010101010102,1.0526315789473684,0.010101010101010102,0.021739130434782608,-0.2222222222222222,1.1056966369251888,0.010101010101010102,,,1.1145475372279496,0.010101010101010102
2,1.3076923076923077,0.020202020202020204,0.012903225806451613,-0.202020202020202,1.04292343387471,0.020202020202020204,0.0022624434389140274,-0.4773869346733668,0.13053613053613053,-0.9797979797979798,1.5324675324675325,0.020202020202020204,1.4834437086092715,0.020202020202020204,1.5294117647058822,0.020202020202020204,1.3254437869822486,0.020202020202020204,0.004766444232602479,-0.2929292929292928,0.005221932114882507,-0.6666666666666666,1.1956769055745164,0.020202020202020204,1.2784810126582278,0.020202020202020204,1.111842105263158,0.020202020202020204,0.03260869565217391,-0.21212121212121204,1.2319835277968427,0.020202020202020204,,,1.2405498281786942,0.020202020202020204
3,1.5256410256410255,0.030303030303030304,0.025806451612903226,-0.1717171717171716,1.0649651972157772,0.030303030303030304,0.004524886877828055,-0.4371859296482412,0.13403263403263405,-0.9696969696969697,1.8571428571428572,0.030303030303030304,1.8344370860927153,0.030303030303030304,1.8366013071895424,0.030303030303030304,1.5167652859960552,0.030303030303030304,0.005719733079122974,-0.28282828282828276,0.007832898172323759,-0.6565656565656566,1.3333333333333333,0.030303030303030304,1.4936708860759493,0.030303030303030304,1.1907894736842106,0.030303030303030304,0.043478260869565216,-0.19191919191919182,1.3809196980096088,0.030303030303030304,,,1.3825887743413516,0.030303030303030304
4,1.7564102564102564,0.04040404040404041,0.04516129032258064,-0.16161616161616155,1.1020881670533642,0.04040404040404041,0.006787330316742082,-0.42713567839195976,0.1386946386946387,-0.9595959595959596,2.1818181818181817,0.04040404040404041,,,2.235294117647059,0.04040404040404041,1.7110453648915187,0.04040404040404041,0.0076263107721639654,-0.2727272727272727,0.010443864229765013,-0.6161616161616161,1.4675767918088738,0.04040404040404041,1.759493670886076,0.04040404040404041,1.25,0.04040404040404041,0.05434782608695652,-0.18181818181818177,1.5085792724776939,0.04040404040404041,,,1.5337915234822452,0.04040404040404041
5,2.08974358974359,0.05050505050505051,0.05161290322580645,-0.1515151515151515,1.1322505800464038,0.05050505050505051,0.007918552036199095,-0.4170854271356784,0.14102564102564102,-0.9494949494949495,2.603896103896104,0.05050505050505051,,,2.6209150326797386,0.05050505050505051,1.960552268244576,0.05050505050505051,0.016205910390848427,-0.26262626262626254,0.013054830287206266,-0.606060606060606,1.664391353811149,0.05050505050505051,2.0759493670886076,0.05050505050505051,1.2894736842105263,0.05050505050505051,0.06521739130434782,-0.1717171717171716,,,,,,
6,,,0.06451612903225806,-0.14141414141414133,1.1647331786542923,0.06060606060606061,0.010180995475113122,-0.40703517587939697,0.14219114219114218,-0.9393939393939394,3.0454545454545454,0.06060606060606061,,,3.0980392156862746,0.06060606060606061,2.219921104536489,0.06060606060606061,0.022878932316491896,-0.2525252525252525,0.015665796344647518,-0.5757575757575757,1.8600682593856654,0.06060606060606061,,,1.3289473684210527,0.06060606060606061,0.08695652173913043,-0.16161616161616155,,,,,,
7,,,0.08387096774193549,-0.13131313131313127,1.1983758700696057,0.07070707070707072,0.011312217194570135,-0.3869346733668342,0.1456876456876457,-0.9292929292929293,3.5844155844155843,0.07070707070707072,,,3.718954248366013,0.07070707070707072,2.4871794871794872,0.07070707070707072,0.029551954242135366,-0.24242424242424232,0.02349869451697128,-0.5555555555555556,2.1023890784982937,0.07070707070707072,,,1.3717105263157894,0.07070707070707072,0.09782608695652174,-0.1515151515151515,,,,,,
8,,,0.12258064516129032,-0.1212121212121211,1.2331786542923433,0.08080808080808081,0.014705882352941176,-0.37688442211055273,0.14685314685314685,-0.9191919191919192,4.279220779220779,0.08080808080808081,,,4.333333333333333,0.08080808080808081,2.7514792899408285,0.08080808080808081,0.04003813155386082,-0.23232323232323226,0.02610966057441253,-0.5454545454545454,2.3629124004550626,0.08080808080808081,,,1.444078947368421,0.08080808080808081,0.10869565217391304,-0.14141414141414133,,,,,,
