component,WAIS_to_GIS,WAIS_to_GIS,AMOC_to_GIS,AMOC_to_GIS,GIS_to_AMOC,GIS_to_AMOC,NINO_to_AMOC,NINO_to_AMOC,WAIS_to_AMOC,WAIS_to_AMOC,NINO_to_WAIS,NINO_to_WAIS,AMOC_to_WAIS,AMOC_to_WAIS,GIS_to_WAIS,GIS_to_WAIS,NINO_to_Amazonas,NINO_to_Amazonas,AMOC_to_Amazonas,AMOC_to_Amazonas,AMOC_to_NINO,AMOC_to_NINO,AWSI_to_AMOC,AWSI_to_AMOC,AWSI_to_GIS,AWSI_to_GIS,AWSI_to_PERM,AWSI_to_PERM,AMOC_to_AWSI,AMOC_to_AWSI,AMOC_to_WAM,AMOC_to_WAM,NINO_to_REEF,NINO_to_REEF,PERM_to_AMOC,PERM_to_AMOC
axis,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac
0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.07653061224489796,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1.1206896551724137,0.010101010101010102,0.017543859649122806,-0.18181818181818177,1.0160857908847185,0.010101010101010102,0.0026109660574412533,-0.3969849246231155,0.07908163265306123,-0.9797979797979798,1.25,0.010101010101010102,1.1818181818181819,0.010101010101010102,1.2105263157894737,0.010101010101010102,1.1802120141342756,0.010101010101010102,0.015463917525773196,-0.1717171717171716,0.011904761904761904,-0.10101010101010088,1.102981029810298,0.010101010101010102,1.1754385964912282,0.010101010101010102,1.2653061224489797,0.010101010101010102,0.18181818181818182,-0.02020202020202011,1.1278026905829597,0.010101010101010102,1.0038481272447408,0.010101010101010102,1.1172069825436408,0.010101010101010102
2,1.2586206896551724,0.020202020202020204,0.03508771929824561,-0.16161616161616155,1.03485254691689,0.020202020202020204,0.005221932114882507,-0.37688442211055273,0.08163265306122448,-0.9696969696969697,1.5576923076923077,0.020202020202020204,1.509090909090909,0.020202020202020204,1.4736842105263157,0.020202020202020204,1.3745583038869258,0.020202020202020204,0.020618556701030927,-0.1515151515151515,0.047619047619047616,-0.08080808080808077,1.2574525745257452,0.020202020202020204,1.2456140350877194,0.020202020202020204,1.6428571428571428,0.020202020202020204,0.45454545454545453,-0.010101010101010055,1.3004484304932735,0.020202020202020204,1.007952796305798,0.020202020202020204,1.2493765586034913,0.020202020202020204
3,1.4137931034482758,0.030303030303030304,0.05263157894736842,-0.14141414141414133,1.0723860589812333,0.030303030303030304,0.007832898172323759,-0.33668341708542715,0.08673469387755102,-0.9595959595959596,1.7884615384615385,0.030303030303030304,,,1.6842105263157894,0.030303030303030304,1.6148409893992932,0.030303030303030304,0.041237113402061855,-0.14141414141414133,0.05952380952380952,-0.07070707070707061,1.4092140921409213,0.030303030303030304,1.4210526315789473,0.030303030303030304,2.0918367346938775,0.030303030303030304,1.0,0.0,1.493273542600897,0.030303030303030304,1.0123140071831709,0.030303030303030304,1.3890274314214464,0.030303030303030304
4,1.5172413793103448,0.04040404040404041,0.07017543859649122,-0.13131313131313127,1.0857908847184987,0.04040404040404041,0.013054830287206266,-0.31658291457286436,0.09183673469387756,-0.9393939393939394,2.1346153846153846,0.04040404040404041,,,2.0350877192982457,0.04040404040404041,1.9328621908127208,0.04040404040404041,0.05154639175257732,-0.1212121212121211,0.11904761904761904,-0.06060606060606055,1.5799457994579946,0.04040404040404041,1.5614035087719298,0.04040404040404041,,,,,1.7354260089686098,0.04040404040404041,1.0166752180605438,0.04040404040404041,1.5012468827930174,0.04040404040404041
5,1.6896551724137931,0.05050505050505051,0.10526315789473684,-0.1212121212121211,1.1206434316353888,0.05050505050505051,0.015665796344647518,-0.3065326633165829,0.09438775510204081,-0.9292929292929293,2.519230769230769,0.05050505050505051,,,2.456140350877193,0.05050505050505051,2.2791519434628977,0.05050505050505051,0.07216494845360824,-0.11111111111111105,0.14285714285714285,-0.050505050505050386,1.7073170731707317,0.05050505050505051,1.7719298245614035,0.05050505050505051,,,,,,,1.0223191380194971,0.05050505050505051,,
6,1.8620689655172413,0.06060606060606061,0.17543859649122806,-0.10101010101010088,1.160857908847185,0.06060606060606061,0.020887728459530026,-0.27638190954773867,0.09693877551020408,-0.9191919191919192,3.0,0.06060606060606061,,,2.789473684210526,0.06060606060606061,2.6572438162544167,0.06060606060606061,0.08762886597938144,-0.10101010101010088,0.27380952380952384,-0.04040404040404033,1.937669376693767,0.06060606060606061,2.0,0.06060606060606061,,,,,,,1.026167265264238,0.06060606060606061,,
7,2.1724137931034484,0.07070707070707072,0.19298245614035087,-0.09090909090909083,1.193029490616622,0.07070707070707072,0.02610966057441253,-0.26633165829145733,0.10204081632653061,-0.9090909090909091,3.519230769230769,0.07070707070707072,,,3.2982456140350878,0.07070707070707072,3.1130742049469964,0.07070707070707072,0.13917525773195877,-0.09090909090909083,,,2.168021680216802,0.07070707070707072,2.263157894736842,0.07070707070707072,,,,,,,,,,
8,,,0.2982456140350877,-0.08080808080808077,1.2332439678284182,0.08080808080808081,0.031331592689295036,-0.2562814070351759,0.10459183673469388,-0.8888888888888888,4.230769230769231,0.08080808080808081,,,3.9298245614035086,0.08080808080808081,3.636042402826855,0.08080808080808081,0.19072164948453607,-0.08080808080808077,,,2.3766937669376693,0.08080808080808081,,,,,,,,,,,,
9,,,0.40350877192982454,-0.07070707070707061,1.262734584450402,0.09090909090909091,0.0391644908616188,-0.24623115577889443,0.10714285714285714,-0.8787878787878788,4.9423076923076925,0.09090909090909091,,,4.719298245614035,0.09090909090909091,4.279151943462898,0.09090909090909091,0.2422680412371134,-0.07070707070707061,,,2.7046070460704605,0.09090909090909091,,,,,,,,,,,,
