#T_peak T_lim t_conv R mu_0 mu_1
2.0 0.0 100 0.084 0.0015 0.00069
2.0 0.0 200 0.0425 0.0015 0.0001675
2.0 0.0 300 0.0295 0.0015 0.000073
2.0 0.0 400 0.0225 0.0015 0.00004
2.0 0.0 500 0.0183 0.0015 0.0000251
2.0 0.0 600 0.01575 0.0015 0.00001715
2.0 0.0 700 0.01375 0.0015 0.00001234
2.0 0.0 800 0.01235 0.0015 0.00000925
2.0 0.0 900 0.0113 0.0015 0.00000716
2.0 0.0 1000 0.0105 0.0015 0.00000569
2.0 0.5 100 0.074 0.0015 0.00067
2.0 0.5 200 0.0375 0.0015 0.000162
2.0 0.5 300 0.0258 0.0015 0.0000705
2.0 0.5 400 0.020 0.0015 0.000039
2.0 0.5 500 0.0162 0.0015 0.0000243
2.0 0.5 600 0.0139 0.0015 0.00001657
2.0 0.5 700 0.0124 0.0015 0.00001195
2.0 0.5 800 0.0111 0.0015 0.00000895
2.0 0.5 900 0.01005 0.0015 0.00000692
2.0 0.5 1000 0.0093 0.0015 0.00000548
2.0 1.0 100 0.062 0.0015 0.00065
2.0 1.0 200 0.0315 0.0015 0.0001565
2.0 1.0 300 0.0217 0.0015 0.0000675
2.0 1.0 400 0.017 0.0015 0.0000373
2.0 1.0 500 0.0138 0.0015 0.0000233
2.0 1.0 600 0.012 0.0015 0.00001587
2.0 1.0 700 0.0105 0.0015 0.00001139
2.0 1.0 800 0.0095 0.0015 0.00000852
2.0 1.0 900 0.0086 0.0015 0.00000657
2.0 1.0 1000 0.0081 0.0015 0.00000521
2.0 1.5 100 0.047 0.0015 0.00060
2.0 1.5 200 0.024 0.0015 0.000145
2.0 1.5 300 0.0168 0.0015 0.000063
2.0 1.5 400 0.0130 0.0015 0.0000345
2.0 1.5 500 0.0107 0.0015 0.00002155
2.0 1.5 600 0.0093 0.0015 0.0000146
2.0 1.5 700 0.0082 0.0015 0.00001045
2.0 1.5 800 0.0075 0.0015 0.00000784
